Case ID,Activity,Complete Timestamp,Variant,Variant index
Case 35,3,2011/10/03 19:04:49.000,Variant 6,6
Case 35,5,2011/10/03 19:49:51.000,Variant 6,6
Case 35,5,2011/11/03 18:15:25.000,Variant 6,6
Case 36,1,2011/10/03 17:10:52.000,Variant 10,10
Case 36,3,2011/10/03 19:15:49.000,Variant 10,10
Case 37,3,2011/10/03 17:52:40.000,Variant 5,5
Case 37,5,2011/10/03 17:53:29.000,Variant 5,5
Case 37,6,2011/10/11 17:15:48.000,Variant 5,5
Case 38,3,2011/10/03 17:57:34.000,Variant 8,8
Case 38,5,2011/10/03 18:04:14.000,Variant 8,8
Case 38,6,2011/10/12 16:58:20.000,Variant 8,8
Case 38,6,2011/10/13 17:36:24.000,Variant 8,8
Case 39,1,2011/10/03 17:34:55.000,Variant 4,4
Case 39,3,2011/10/03 17:46:31.000,Variant 4,4
Case 39,3,2011/10/03 22:39:28.000,Variant 4,4
Case 40,1,2011/10/03 17:34:55.000,Variant 10,10
Case 40,3,2011/10/03 17:38:50.000,Variant 10,10
Case 41,3,2011/10/03 17:57:13.000,Variant 2,2
Case 41,5,2011/10/03 18:37:01.000,Variant 2,2
Case 41,5,2011/10/18 22:12:46.000,Variant 2,2
Case 42,3,2011/10/03 18:25:27.000,Variant 3,3
Case 42,3,2011/10/04 21:59:22.000,Variant 3,3
Case 43,3,2011/10/03 18:11:17.000,Variant 5,5
Case 43,5,2011/10/10 18:17:49.000,Variant 5,5
Case 43,6,2011/10/11 22:57:09.000,Variant 5,5
Case 44,3,2011/10/03 18:22:08.000,Variant 5,5
Case 44,5,2011/10/10 21:52:48.000,Variant 5,5
Case 44,6,2011/10/12 18:52:13.000,Variant 5,5
Case 45,1,2011/10/03 17:23:52.000,Variant 9,9
Case 45,1,2011/10/03 17:26:39.000,Variant 9,9
Case 46,1,2011/10/03 17:28:44.000,Variant 6,6
Case 46,3,2011/10/03 20:37:08.000,Variant 6,6
Case 46,5,2011/10/03 20:38:46.000,Variant 6,6
Case 46,5,2011/10/11 00:43:55.000,Variant 6,6
Case 47,1,2011/10/03 17:30:10.000,Variant 1,1
Case 48,3,2011/10/03 18:17:33.000,Variant 5,5
Case 48,5,2011/10/11 00:28:12.000,Variant 5,5
Case 48,6,2011/10/26 16:07:39.000,Variant 5,5
Case 49,3,2011/10/03 18:28:37.000,Variant 8,8
Case 49,5,2011/10/05 03:41:00.000,Variant 8,8
Case 49,6,2011/10/14 17:56:18.000,Variant 8,8
Case 49,6,2011/10/14 18:05:57.000,Variant 8,8
Case 50,1,2011/10/03 17:31:47.000,Variant 14,14
Case 50,3,2011/10/03 20:54:18.000,Variant 14,14
Case 50,5,2011/10/03 22:02:13.000,Variant 14,14
Case 50,6,2011/10/28 20:02:13.000,Variant 14,14
Case 50,4,2011/10/28 23:50:05.000,Variant 14,14
Case 50,6,2011/11/04 22:09:47.000,Variant 14,14
Case 51,1,2011/10/03 17:36:33.000,Variant 1,1
Case 52,1,2011/10/03 17:37:07.000,Variant 6,6
Case 52,3,2011/10/03 21:58:22.000,Variant 6,6
Case 52,5,2011/10/11 02:44:19.000,Variant 6,6
Case 52,5,2011/10/14 04:00:48.000,Variant 6,6
Case 53,1,2011/10/03 17:33:46.000,Variant 1,1
Case 54,1,2011/10/03 17:35:23.000,Variant 1,1
Case 55,3,2011/10/03 18:43:52.000,Variant 8,8
Case 55,5,2011/10/03 18:52:28.000,Variant 8,8
Case 55,6,2011/10/12 23:54:05.000,Variant 8,8
Case 55,6,2011/10/13 00:01:06.000,Variant 8,8
Case 56,2,2011/10/03 19:00:29.000,Variant 23,23
Case 56,2,2011/10/03 19:19:30.000,Variant 23,23
Case 57,1,2011/10/03 17:30:25.000,Variant 4,4
Case 57,3,2011/10/03 20:28:21.000,Variant 4,4
Case 57,3,2011/10/04 20:04:02.000,Variant 4,4
Case 58,1,2011/10/03 17:28:17.000,Variant 4,4
Case 58,3,2011/10/03 20:21:41.000,Variant 4,4
Case 58,3,2011/10/03 20:23:42.000,Variant 4,4
Case 59,3,2011/10/03 18:29:11.000,Variant 18,18
Case 59,5,2011/10/03 23:30:11.000,Variant 18,18
Case 59,6,2011/10/31 22:19:02.000,Variant 18,18
Case 59,4,2011/11/01 02:17:03.000,Variant 18,18
Case 59,6,2011/11/09 21:18:51.000,Variant 18,18
Case 59,4,2011/11/09 22:22:22.000,Variant 18,18
Case 59,6,2011/11/29 18:27:33.000,Variant 18,18
Case 60,1,2011/10/03 17:29:09.000,Variant 1,1
Case 61,3,2011/10/03 18:32:58.000,Variant 3,3
Case 61,3,2011/11/02 18:15:09.000,Variant 3,3
Case 62,3,2011/10/03 18:44:53.000,Variant 18,18
Case 62,5,2011/10/10 21:48:25.000,Variant 18,18
Case 62,6,2011/10/12 20:18:36.000,Variant 18,18
Case 62,4,2011/10/12 20:36:15.000,Variant 18,18
Case 62,6,2011/10/13 22:11:33.000,Variant 18,18
Case 62,4,2011/10/13 22:23:57.000,Variant 18,18
Case 62,6,2011/10/14 16:30:29.000,Variant 18,18
Case 63,1,2011/10/03 17:23:43.000,Variant 6,6
Case 63,3,2011/10/03 19:35:58.000,Variant 6,6
Case 63,5,2011/10/11 03:59:57.000,Variant 6,6
Case 63,5,2011/11/03 18:15:32.000,Variant 6,6
Case 64,3,2011/10/03 18:53:08.000,Variant 2,2
Case 64,5,2011/10/03 18:54:08.000,Variant 2,2
Case 64,5,2011/11/03 18:15:22.000,Variant 2,2
Case 65,1,2011/10/03 17:21:51.000,Variant 12,12
Case 65,3,2011/10/03 20:06:55.000,Variant 12,12
Case 65,5,2011/10/06 01:13:11.000,Variant 12,12
Case 65,6,2011/10/31 23:34:00.000,Variant 12,12
Case 66,3,2011/10/03 18:54:11.000,Variant 15,15
Case 66,5,2011/10/12 01:59:04.000,Variant 15,15
Case 66,6,2011/10/19 16:15:38.000,Variant 15,15
Case 66,4,2011/10/19 22:53:53.000,Variant 15,15
Case 66,4,2011/11/30 00:05:31.000,Variant 15,15
Case 67,3,2011/10/03 18:49:53.000,Variant 3,3
Case 67,3,2011/11/02 18:15:12.000,Variant 3,3
Case 68,1,2011/10/03 17:23:39.000,Variant 1,1
Case 69,1,2011/10/03 17:19:24.000,Variant 10,10
Case 69,3,2011/10/03 19:33:34.000,Variant 10,10
Case 70,3,2011/10/03 19:00:25.000,Variant 5,5
Case 70,5,2011/10/10 18:41:35.000,Variant 5,5
Case 70,6,2011/10/11 22:01:53.000,Variant 5,5
Case 71,3,2011/10/03 20:32:27.000,Variant 17,17
Case 71,5,2011/10/11 01:27:04.000,Variant 17,17
Case 72,1,2011/10/03 17:46:40.000,Variant 16,16
Case 72,3,2011/10/03 17:54:39.000,Variant 16,16
Case 72,5,2011/10/10 20:52:19.000,Variant 16,16
Case 72,6,2011/10/13 01:38:24.000,Variant 16,16
Case 72,6,2011/10/13 18:26:10.000,Variant 16,16
Case 73,1,2011/10/03 17:55:15.000,Variant 25,25
Case 73,3,2011/10/03 18:00:22.000,Variant 25,25
Case 73,5,2011/10/11 00:32:20.000,Variant 25,25
Case 74,3,2011/10/03 22:07:57.000,Variant 2,2
Case 74,5,2011/10/12 02:15:36.000,Variant 2,2
Case 74,5,2011/10/19 18:30:58.000,Variant 2,2
Case 75,1,2011/10/03 18:43:00.000,Variant 6,6
Case 75,3,2011/10/03 18:47:20.000,Variant 6,6
Case 75,5,2011/10/03 18:49:04.000,Variant 6,6
Case 75,5,2011/11/03 18:15:19.000,Variant 6,6
Case 76,1,2011/10/03 20:10:48.000,Variant 1,1
Case 77,3,2011/10/03 19:02:32.000,Variant 5,5
Case 77,5,2011/10/06 04:54:18.000,Variant 5,5
Case 77,6,2011/10/13 17:35:30.000,Variant 5,5
Case 78,3,2011/10/03 22:11:53.000,Variant 2,2
Case 78,5,2011/10/03 22:31:12.000,Variant 2,2
Case 78,5,2011/10/19 01:35:56.000,Variant 2,2
Case 79,1,2011/10/03 20:12:57.000,Variant 1,1
Case 80,3,2011/10/03 22:25:05.000,Variant 2,2
Case 80,5,2011/10/03 22:28:40.000,Variant 2,2
Case 80,5,2011/10/17 19:35:07.000,Variant 2,2
Case 81,1,2011/10/03 20:14:47.000,Variant 1,1
Case 82,1,2011/10/03 20:16:26.000,Variant 4,4
Case 82,3,2011/10/03 20:19:19.000,Variant 4,4
Case 82,3,2011/10/03 22:46:01.000,Variant 4,4
Case 83,1,2011/10/03 20:18:16.000,Variant 1,1
Case 84,3,2011/10/03 22:15:20.000,Variant 2,2
Case 84,5,2011/10/14 17:33:48.000,Variant 2,2
Case 84,5,2011/11/05 02:47:06.000,Variant 2,2
Case 85,3,2011/10/04 00:45:50.000,Variant 15,15
Case 85,5,2011/10/11 02:42:04.000,Variant 15,15
Case 85,6,2011/10/17 18:31:24.000,Variant 15,15
Case 85,4,2011/10/17 19:25:58.000,Variant 15,15
Case 85,4,2011/10/18 19:06:58.000,Variant 15,15
Case 86,3,2011/10/03 22:20:03.000,Variant 5,5
Case 86,5,2011/10/18 02:30:31.000,Variant 5,5
Case 86,6,2011/10/27 18:01:40.000,Variant 5,5
Case 87,3,2011/10/03 20:27:17.000,Variant 13,13
Case 87,5,2011/10/03 20:37:58.000,Variant 13,13
Case 87,6,2011/10/10 17:31:57.000,Variant 13,13
Case 87,4,2011/10/10 17:43:17.000,Variant 13,13
Case 87,6,2011/10/10 21:22:16.000,Variant 13,13
Case 87,6,2011/10/12 00:43:18.000,Variant 13,13
Case 88,3,2011/10/03 20:19:32.000,Variant 7,7
Case 88,5,2011/10/03 20:24:40.000,Variant 7,7
Case 88,6,2011/10/03 20:25:01.000,Variant 7,7
Case 88,4,2011/10/03 23:07:37.000,Variant 7,7
Case 88,6,2011/10/18 18:10:42.000,Variant 7,7
Case 89,3,2011/10/03 20:27:54.000,Variant 11,11
Case 90,1,2011/10/03 21:13:35.000,Variant 9,9
Case 90,1,2011/10/03 21:29:33.000,Variant 9,9
Case 91,3,2011/10/03 22:28:07.000,Variant 13,13
Case 91,5,2011/10/03 22:30:21.000,Variant 13,13
Case 91,6,2011/12/05 23:30:18.000,Variant 13,13
Case 91,4,2011/12/06 21:48:58.000,Variant 13,13
Case 91,6,2011/12/09 17:53:21.000,Variant 13,13
Case 91,6,2011/12/13 18:44:26.000,Variant 13,13
Case 92,1,2011/10/03 21:26:37.000,Variant 14,14
Case 92,3,2011/10/03 23:38:54.000,Variant 14,14
Case 92,5,2011/10/04 01:26:18.000,Variant 14,14
Case 92,6,2011/10/13 19:01:05.000,Variant 14,14
Case 92,4,2011/10/13 19:11:50.000,Variant 14,14
Case 92,6,2011/10/14 00:28:42.000,Variant 14,14
Case 93,1,2011/10/03 21:37:16.000,Variant 1,1
Case 94,1,2011/10/03 21:31:16.000,Variant 1,1
Case 95,3,2011/10/03 23:14:50.000,Variant 5,5
Case 95,5,2011/10/04 00:13:02.000,Variant 5,5
Case 95,6,2011/10/18 04:11:25.000,Variant 5,5
Case 96,3,2011/10/03 21:59:52.000,Variant 15,15
Case 96,5,2011/10/03 22:34:08.000,Variant 15,15
Case 96,6,2011/10/03 22:34:41.000,Variant 15,15
Case 96,4,2011/10/03 22:36:30.000,Variant 15,15
Case 96,4,2011/10/04 18:17:33.000,Variant 15,15
Case 97,3,2011/10/03 21:53:32.000,Variant 5,5
Case 97,5,2011/10/03 21:56:48.000,Variant 5,5
Case 97,6,2011/10/11 19:49:21.000,Variant 5,5
Case 98,3,2011/10/03 23:41:20.000,Variant 3,3
Case 98,3,2011/11/03 18:15:06.000,Variant 3,3
Case 99,3,2011/10/03 23:57:37.000,Variant 2,2
Case 99,5,2011/10/03 23:59:15.000,Variant 2,2
Case 99,5,2011/11/03 18:15:29.000,Variant 2,2
Case 100,3,2011/10/03 23:46:51.000,Variant 13,13
Case 100,5,2011/10/04 00:28:05.000,Variant 13,13
Case 100,6,2011/10/14 23:06:18.000,Variant 13,13
Case 100,4,2011/10/15 03:36:25.000,Variant 13,13
Case 100,6,2011/10/21 18:32:17.000,Variant 13,13
Case 100,6,2011/10/21 18:36:36.000,Variant 13,13
Case 101,3,2011/10/03 23:50:01.000,Variant 5,5
Case 101,5,2011/10/07 03:51:56.000,Variant 5,5
Case 101,6,2011/10/26 20:55:24.000,Variant 5,5
Case 102,3,2011/10/04 00:15:49.000,Variant 3,3
Case 102,3,2011/10/04 00:16:41.000,Variant 3,3
Case 103,3,2011/10/03 22:38:17.000,Variant 5,5
Case 103,5,2011/10/03 22:39:20.000,Variant 5,5
Case 103,6,2011/10/03 22:46:56.000,Variant 5,5
Case 104,1,2011/10/03 23:11:51.000,Variant 4,4
Case 104,3,2011/10/04 00:21:40.000,Variant 4,4
Case 104,3,2011/10/04 00:39:40.000,Variant 4,4
Case 105,1,2011/10/03 23:01:32.000,Variant 1,1
Case 106,1,2011/10/03 23:18:44.000,Variant 1,1
Case 107,1,2011/10/03 23:46:16.000,Variant 4,4
Case 107,3,2011/10/04 00:00:03.000,Variant 4,4
Case 107,3,2011/10/04 01:02:58.000,Variant 4,4
Case 108,1,2011/10/04 00:20:21.000,Variant 1,1
Case 109,1,2011/10/04 00:27:40.000,Variant 1,1
Case 110,1,2011/10/04 00:46:14.000,Variant 1,1
Case 111,3,2011/10/04 00:47:59.000,Variant 32,32
Case 111,5,2011/10/11 02:45:45.000,Variant 32,32
Case 111,6,2011/10/13 23:53:36.000,Variant 32,32
Case 111,4,2011/10/14 00:15:05.000,Variant 32,32
Case 111,6,2011/10/26 20:04:45.000,Variant 32,32
Case 111,4,2011/10/27 01:21:25.000,Variant 32,32
Case 111,6,2011/10/31 22:55:00.000,Variant 32,32
Case 111,4,2011/11/01 04:20:42.000,Variant 32,32
Case 111,6,2011/11/07 23:12:16.000,Variant 32,32
Case 111,6,2011/11/07 23:21:56.000,Variant 32,32
Case 112,1,2011/10/04 00:44:37.000,Variant 1,1
Case 113,1,2011/10/04 00:47:54.000,Variant 4,4
Case 113,3,2011/10/04 02:08:10.000,Variant 4,4
Case 113,3,2011/10/04 17:58:05.000,Variant 4,4
Case 114,3,2011/10/04 01:04:42.000,Variant 5,5
Case 114,5,2011/10/06 18:30:28.000,Variant 5,5
Case 114,6,2011/10/15 01:08:32.000,Variant 5,5
Case 115,3,2011/10/04 03:03:32.000,Variant 5,5
Case 115,5,2011/10/11 18:09:38.000,Variant 5,5
Case 115,6,2011/10/15 02:40:21.000,Variant 5,5
Case 116,3,2011/10/04 03:05:26.000,Variant 3,3
Case 116,3,2011/11/03 18:15:08.000,Variant 3,3
Case 117,1,2011/10/04 02:00:24.000,Variant 4,4
Case 117,3,2011/10/04 03:12:19.000,Variant 4,4
Case 117,3,2011/11/03 18:15:11.000,Variant 4,4
Case 118,3,2011/10/04 03:07:08.000,Variant 5,5
Case 118,5,2011/10/05 01:51:28.000,Variant 5,5
Case 118,6,2011/10/17 22:23:02.000,Variant 5,5
Case 119,3,2011/10/04 03:09:32.000,Variant 2,2
Case 119,5,2011/10/05 18:45:36.000,Variant 2,2
Case 119,5,2011/11/04 18:06:42.000,Variant 2,2
Case 120,1,2011/10/04 02:19:01.000,Variant 1,1
Case 121,1,2011/10/04 02:24:08.000,Variant 30,30
Case 121,3,2011/10/04 03:29:22.000,Variant 30,30
Case 121,5,2011/10/04 03:40:26.000,Variant 30,30
Case 121,6,2011/10/13 17:14:26.000,Variant 30,30
Case 121,4,2011/10/13 18:18:17.000,Variant 30,30
Case 121,6,2011/10/13 20:12:52.000,Variant 30,30
Case 121,4,2011/10/14 01:46:25.000,Variant 30,30
Case 121,4,2011/10/14 02:21:11.000,Variant 30,30
Case 122,3,2011/10/04 04:01:59.000,Variant 3,3
Case 122,3,2011/11/03 18:15:13.000,Variant 3,3
Case 123,3,2011/10/04 04:27:27.000,Variant 2,2
Case 123,5,2011/10/04 04:31:58.000,Variant 2,2
Case 123,5,2011/10/14 18:03:46.000,Variant 2,2
Case 124,1,2011/10/04 03:41:01.000,Variant 10,10
Case 124,3,2011/10/04 04:46:27.000,Variant 10,10
Case 125,1,2011/10/04 03:42:17.000,Variant 10,10
Case 125,3,2011/10/04 04:52:59.000,Variant 10,10
Case 126,1,2011/10/04 03:43:47.000,Variant 4,4
Case 126,3,2011/10/04 04:55:48.000,Variant 4,4
Case 126,3,2011/10/04 22:55:38.000,Variant 4,4
Case 127,1,2011/10/04 03:44:26.000,Variant 4,4
Case 127,3,2011/10/04 20:02:47.000,Variant 4,4
Case 127,3,2011/10/05 00:59:32.000,Variant 4,4
Case 128,1,2011/10/04 03:56:21.000,Variant 1,1
Case 129,1,2011/10/04 03:57:36.000,Variant 4,4
Case 129,3,2011/10/04 18:00:30.000,Variant 4,4
Case 129,3,2011/10/05 02:20:33.000,Variant 4,4
Case 130,1,2011/10/04 04:17:57.000,Variant 4,4
Case 130,3,2011/10/04 18:08:55.000,Variant 4,4
Case 130,3,2011/10/06 02:41:01.000,Variant 4,4
Case 131,3,2011/10/04 04:02:07.000,Variant 7,7
Case 131,5,2011/10/10 20:33:44.000,Variant 7,7
Case 131,6,2011/10/25 19:26:49.000,Variant 7,7
Case 131,4,2011/10/25 20:12:12.000,Variant 7,7
Case 131,6,2011/10/26 17:46:29.000,Variant 7,7
Case 132,1,2011/10/04 04:02:11.000,Variant 10,10
Case 132,3,2011/10/04 04:14:08.000,Variant 10,10
Case 133,1,2011/10/04 04:15:35.000,Variant 1,1
Case 134,3,2011/10/04 20:01:12.000,Variant 17,17
Case 134,5,2011/10/12 04:44:01.000,Variant 17,17
Case 135,1,2011/10/04 04:26:39.000,Variant 1,1
Case 136,1,2011/10/04 04:35:06.000,Variant 22,22
Case 136,3,2011/10/04 17:42:30.000,Variant 22,22
Case 136,5,2011/10/12 02:04:34.000,Variant 22,22
Case 136,6,2011/11/02 22:50:38.000,Variant 22,22
Case 136,4,2011/11/03 00:26:04.000,Variant 22,22
Case 136,4,2011/11/04 00:01:24.000,Variant 22,22
Case 137,1,2011/10/04 04:27:29.000,Variant 10,10
Case 137,3,2011/10/04 04:34:45.000,Variant 10,10
Case 138,1,2011/10/04 04:50:46.000,Variant 10,10
Case 138,3,2011/10/04 20:13:34.000,Variant 10,10
Case 139,1,2011/10/04 04:48:10.000,Variant 1,1
Case 140,3,2011/10/04 17:30:47.000,Variant 3,3
Case 140,3,2011/10/14 04:45:51.000,Variant 3,3
Case 141,3,2011/10/04 18:23:13.000,Variant 7,7
Case 141,5,2011/10/06 20:59:23.000,Variant 7,7
Case 141,6,2011/10/18 00:13:41.000,Variant 7,7
Case 141,4,2011/10/18 00:57:18.000,Variant 7,7
Case 141,6,2011/10/19 00:05:54.000,Variant 7,7
Case 142,3,2011/10/04 18:27:02.000,Variant 8,8
Case 142,5,2011/10/10 20:00:54.000,Variant 8,8
Case 142,6,2011/10/13 21:01:39.000,Variant 8,8
Case 142,6,2011/10/13 22:02:25.000,Variant 8,8
Case 143,1,2011/10/04 17:02:31.000,Variant 10,10
Case 143,3,2011/10/04 20:53:00.000,Variant 10,10
Case 144,1,2011/10/04 17:03:58.000,Variant 14,14
Case 144,3,2011/10/04 20:39:20.000,Variant 14,14
Case 144,5,2011/10/12 04:41:23.000,Variant 14,14
Case 144,6,2011/10/17 18:40:10.000,Variant 14,14
Case 144,4,2011/10/17 20:00:50.000,Variant 14,14
Case 144,6,2011/10/18 17:44:45.000,Variant 14,14
Case 145,1,2011/10/04 17:08:38.000,Variant 14,14
Case 145,3,2011/10/04 21:15:13.000,Variant 14,14
Case 145,5,2011/10/04 21:45:23.000,Variant 14,14
Case 145,6,2011/11/09 00:50:53.000,Variant 14,14
Case 145,4,2011/11/09 02:57:09.000,Variant 14,14
Case 145,6,2011/11/10 20:04:27.000,Variant 14,14
Case 146,3,2011/10/04 19:26:22.000,Variant 2,2
Case 146,5,2011/10/17 14:15:03.000,Variant 2,2
Case 146,5,2011/10/25 23:00:50.000,Variant 2,2
Case 147,1,2011/10/04 17:08:28.000,Variant 1,1
Case 148,3,2011/10/04 18:52:17.000,Variant 17,17
Case 148,5,2011/10/12 02:10:47.000,Variant 17,17
Case 149,1,2011/10/04 17:09:26.000,Variant 1,1
Case 150,3,2011/10/04 18:44:44.000,Variant 7,7
Case 150,5,2011/10/10 21:45:10.000,Variant 7,7
Case 150,6,2011/10/13 18:20:54.000,Variant 7,7
Case 150,4,2011/10/13 19:53:09.000,Variant 7,7
Case 150,6,2011/10/13 20:51:18.000,Variant 7,7
Case 151,3,2011/10/04 19:24:12.000,Variant 11,11
Case 152,1,2011/10/04 17:09:32.000,Variant 6,6
Case 152,3,2011/10/04 19:14:19.000,Variant 6,6
Case 152,5,2011/10/12 04:53:31.000,Variant 6,6
