Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,concept:name,impact,lifecycle:transition,org:group,org:role,organization country,organization involved,product,resource country
Case 5,Accepted-Wait,Value 4,2009/12/02 22:24:32.000,Variant 37,37,Accepted,Medium,Wait,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
Case 5,Queued-Awaiting Assignment,Value 4,2010/08/25 18:13:01.000,Variant 37,37,Queued,Medium,Awaiting Assignment,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
Case 5,Accepted-In Progress,Value 4,2011/09/05 16:24:13.000,Variant 37,37,Accepted,Medium,In Progress,Org line A2,A2_2,se,M1 2nd,PROD681,Sweden
Case 5,Accepted-Assigned,Value 4,2011/11/15 00:10:25.000,Variant 37,37,Accepted,Medium,Assigned,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
Case 5,Accepted-In Progress,Value 4,2012/01/03 19:30:35.000,Variant 37,37,Accepted,Medium,In Progress,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
Case 5,Completed-Closed,Value 4,2012/01/03 19:31:53.000,Variant 37,37,Completed,Medium,Closed,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
Case 6,Accepted-In Progress,Value 2,2008/05/08 01:58:51.000,Variant 79,79,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
Case 6,Accepted-In Progress,Value 2,2008/10/06 23:44:37.000,Variant 79,79,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
Case 6,Accepted-Wait,Value 2,2009/12/02 22:24:34.000,Variant 79,79,Accepted,High,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
Case 6,Accepted-In Progress,Value 2,2011/09/02 07:27:50.000,Variant 79,79,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
Case 6,Accepted-In Progress,Value 2,2011/09/02 07:27:55.000,Variant 79,79,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
Case 6,Accepted-In Progress,Value 3,2012/01/20 15:53:32.000,Variant 79,79,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
Case 6,Completed-Closed,Value 3,2012/01/20 15:53:35.000,Variant 79,79,Completed,High,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
Case 7,Accepted-In Progress,Value 2,2008/06/04 19:02:18.000,Variant 37,37,Accepted,Medium,In Progress,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
Case 7,Accepted-Wait,Value 2,2009/12/02 22:24:34.000,Variant 37,37,Accepted,Medium,Wait,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
Case 7,Queued-Awaiting Assignment,Value 2,2010/08/25 18:06:45.000,Variant 37,37,Queued,Medium,Awaiting Assignment,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
Case 7,Accepted-In Progress,Value 2,2011/09/03 15:02:11.000,Variant 37,37,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden
Case 7,Accepted-Assigned,Value 4,2011/11/15 00:09:27.000,Variant 37,37,Accepted,Medium,Assigned,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
Case 7,Accepted-In Progress,Value 2,2012/01/05 22:08:18.000,Variant 37,37,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden
Case 7,Completed-Closed,Value 2,2012/01/05 22:09:00.000,Variant 37,37,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden
Case 8,Accepted-In Progress,Value 5,2008/11/13 17:43:32.000,Variant 80,80,Accepted,High,In Progress,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
Case 8,Accepted-In Progress,Value 5,2012/01/30 18:56:24.000,Variant 80,80,Accepted,High,In Progress,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
Case 8,Accepted-In Progress,Value 5,2012/01/30 19:12:05.000,Variant 80,80,Accepted,High,In Progress,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
Case 8,Queued-Awaiting Assignment,Value 6,2012/02/16 22:52:16.000,Variant 80,80,Queued,High,Awaiting Assignment,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
Case 8,Accepted-In Progress,Value 5,2012/02/16 23:09:17.000,Variant 80,80,Accepted,High,In Progress,Org line V7n,,nl,V37 2nd,PROD542,Netherlands
Case 8,Queued-Awaiting Assignment,Value 6,2012/02/16 23:09:43.000,Variant 80,80,Queued,High,Awaiting Assignment,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
Case 8,Accepted-In Progress,Value 5,2012/02/16 23:10:10.000,Variant 80,80,Accepted,High,In Progress,Org line V7n,,nl,V37 2nd,PROD542,Netherlands
Case 8,Completed-Closed,Value 5,2012/03/19 17:26:32.000,Variant 80,80,Completed,High,Closed,Org line V7n,,nl,V37 2nd,PROD542,Netherlands
Case 9,Accepted-In Progress,Value 2,2008/11/13 19:01:04.000,Variant 23,23,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
Case 9,Accepted-Wait,Value 2,2009/12/02 22:24:35.000,Variant 23,23,Accepted,Low,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
Case 9,Accepted-In Progress,Value 2,2011/11/14 23:57:27.000,Variant 23,23,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
Case 9,Accepted-In Progress,Value 3,2012/01/18 18:17:14.000,Variant 23,23,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
Case 9,Completed-Closed,Value 3,2012/01/18 18:19:21.000,Variant 23,23,Completed,Low,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
Case 10,Accepted-In Progress,Value 7,2009/06/25 16:47:52.000,Variant 4,4,Accepted,Medium,In Progress,Org line A2,A2_1,se,M18 2nd,PROD38,Sweden
Case 10,Accepted-In Progress,Value 7,2012/03/28 20:10:36.000,Variant 4,4,Accepted,Medium,In Progress,Org line A2,A2_1,se,M18 2nd,PROD38,Sweden
Case 10,Completed-Closed,Value 7,2012/03/28 20:12:08.000,Variant 4,4,Completed,Medium,Closed,Org line A2,A2_1,se,M18 2nd,PROD38,Sweden
Case 11,Accepted-In Progress,Value 8,2009/08/11 15:44:51.000,Variant 81,81,Accepted,Medium,In Progress,Org line C,E_10,se,G260 2nd,PROD425,Sweden
Case 11,Queued-Awaiting Assignment,Value 8,2009/08/11 15:55:12.000,Variant 81,81,Queued,Medium,Awaiting Assignment,Org line C,E_10,se,G260 2nd,PROD425,Sweden
Case 11,Accepted-Assigned,Value 8,2009/08/11 19:01:25.000,Variant 81,81,Accepted,Medium,Assigned,Org line C,E_10,se,G260 2nd,PROD425,Sweden
Case 11,Queued-Awaiting Assignment,Value 8,2010/05/18 19:35:53.000,Variant 81,81,Queued,Medium,Awaiting Assignment,Org line C,E_10,se,G260 2nd,PROD425,Sweden
Case 11,Accepted-In Progress,Value 9,2010/06/16 19:00:32.000,Variant 81,81,Accepted,Medium,In Progress,Org line C,C_6,se,G152 3rd,PROD425,Sweden
Case 11,Accepted-Wait,Value 9,2011/10/02 05:40:28.000,Variant 81,81,Accepted,Medium,Wait,Org line C,C_6,se,G152 3rd,PROD425,Sweden
Case 11,Queued-Awaiting Assignment,Value 9,2011/12/07 20:41:00.000,Variant 81,81,Queued,Medium,Awaiting Assignment,Org line C,E_10,se,G260 2nd,PROD425,Sweden
Case 11,Accepted-In Progress,Value 10,2012/02/15 20:01:20.000,Variant 81,81,Accepted,Medium,In Progress,Org line C,E_10,se,G150 2nd,PROD425,Sweden
Case 11,Completed-Closed,Value 10,2012/02/20 05:57:21.000,Variant 81,81,Completed,Medium,Closed,Org line C,E_10,se,G150 2nd,PROD425,Sweden
Case 12,Accepted-In Progress,Value 11,2009/09/07 21:33:24.000,Variant 42,42,Accepted,Low,In Progress,Org line C,C_6,se,G237 3rd,PROD498,Sweden
Case 12,Unmatched-Unmatched,Value 11,2009/09/14 18:37:50.000,Variant 42,42,Unmatched,Low,Unmatched,Org line C,C_6,se,G237 3rd,PROD498,Sweden
Case 12,Completed-Closed,Value 11,2012/04/30 19:21:43.000,Variant 42,42,Completed,Low,Closed,Org line C,C_6,se,G237 3rd,PROD498,Sweden
Case 13,Queued-Awaiting Assignment,Value 12,2009/09/17 05:42:12.000,Variant 82,82,Queued,Medium,Awaiting Assignment,Org line A2,A2_1,pl,W16 3rd,PROD761,POLAND
Case 13,Accepted-In Progress,Value 12,2009/09/28 18:26:19.000,Variant 82,82,Accepted,Medium,In Progress,Org line A2,A2_1,pl,W16 3rd,PROD761,POLAND
Case 13,Accepted-Wait,Value 12,2009/09/28 18:26:30.000,Variant 82,82,Accepted,Medium,Wait,Org line A2,A2_1,pl,W16 3rd,PROD761,POLAND
Case 13,Queued-Awaiting Assignment,Value 12,2010/04/08 19:09:22.000,Variant 82,82,Queued,Medium,Awaiting Assignment,Org line A2,A2_1,pl,W16 3rd,PROD761,POLAND
Case 13,Queued-Awaiting Assignment,Value 12,2010/04/08 19:11:51.000,Variant 82,82,Queued,Medium,Awaiting Assignment,Org line A2,A2_1,pl,W15 2nd,PROD761,POLAND
Case 13,Accepted-In Progress,Value 12,2010/04/12 17:05:58.000,Variant 82,82,Accepted,Medium,In Progress,Org line A2,A2_1,pl,W15 2nd,PROD761,POLAND
Case 13,Accepted-Wait,Value 12,2010/04/12 17:10:24.000,Variant 82,82,Accepted,Medium,Wait,Org line A2,A2_1,pl,W15 2nd,PROD761,POLAND
Case 13,Accepted-In Progress,Value 12,2011/10/18 23:09:14.000,Variant 82,82,Accepted,Medium,In Progress,Org line A2,A2_1,pl,W15 2nd,PROD761,POLAND
Case 13,Accepted-Wait,Value 12,2012/05/24 17:02:19.000,Variant 82,82,Accepted,Medium,Wait,Org line A2,A2_1,pl,W15 2nd,PROD761,POLAND
Case 13,Completed-Closed,Value 12,2012/05/24 18:03:31.000,Variant 82,82,Completed,Medium,Closed,Org line A2,A2_1,pl,W15 2nd,PROD761,POLAND
Case 14,Accepted-In Progress,Value 13,2009/09/18 19:50:02.000,Variant 42,42,Accepted,Low,In Progress,Org line C,E_3,se,L54 2nd,PROD385,Sweden
Case 14,Unmatched-Unmatched,Value 13,2009/11/17 22:07:38.000,Variant 42,42,Unmatched,Low,Unmatched,Org line C,E_3,se,L54 2nd,PROD385,Sweden
Case 14,Completed-Closed,Value 13,2012/03/13 19:53:35.000,Variant 42,42,Completed,Low,Closed,Org line C,E_3,se,L54 2nd,PROD385,Sweden
Case 15,Accepted-In Progress,Value 14,2009/09/21 21:13:43.000,Variant 1,1,Accepted,Medium,In Progress,Org line V2,,se,T2 2nd,PROD631,Sweden
Case 15,Completed-Closed,Value 14,2012/02/07 21:22:11.000,Variant 1,1,Completed,Medium,Closed,Org line V2,,se,T2 2nd,PROD631,Sweden
Case 16,Accepted-In Progress,Value 15,2009/09/22 21:22:05.000,Variant 10,10,Accepted,Low,In Progress,Org line C,C_5,se,N1 3rd,PROD476,Sweden
Case 16,Accepted-Assigned,Value 15,2009/09/22 21:25:17.000,Variant 10,10,Accepted,Low,Assigned,Org line C,C_5,se,N1 3rd,PROD476,Sweden
Case 16,Completed-Closed,Value 15,2012/05/24 17:57:49.000,Variant 10,10,Completed,Low,Closed,Org line C,C_5,se,N1 3rd,PROD476,Sweden
Case 17,Accepted-In Progress,Value 16,2009/09/23 18:52:27.000,Variant 83,83,Accepted,High,In Progress,Org line A2,D_1,in,L50 3rd,PROD611,Sweden
Case 17,Accepted-Assigned,Value 16,2010/01/04 17:00:17.000,Variant 83,83,Accepted,High,Assigned,Org line A2,D_1,in,L50 3rd,PROD611,Sweden
Case 17,Accepted-In Progress,Value 16,2010/03/18 00:36:20.000,Variant 83,83,Accepted,High,In Progress,Org line A2,D_1,in,L50 3rd,PROD611,Sweden
Case 17,Accepted-Assigned,Value 16,2010/11/09 20:35:55.000,Variant 83,83,Accepted,High,Assigned,Org line A2,D_1,in,L50 3rd,PROD611,Sweden
Case 17,Accepted-In Progress,Value 16,2010/11/09 22:20:48.000,Variant 83,83,Accepted,High,In Progress,Org line A2,D_1,in,L50 3rd,PROD611,Sweden
Case 17,Accepted-In Progress,Value 17,2012/03/30 15:00:47.000,Variant 83,83,Accepted,High,In Progress,Org line A2,D_1,in,L50 3rd,PROD611,Sweden
Case 17,Accepted-Assigned,Value 18,2012/03/30 15:05:44.000,Variant 83,83,Accepted,High,Assigned,Org line A2,D_1,in,L50 3rd,PROD611,INDIA
Case 17,Accepted-In Progress,Value 19,2012/04/19 17:01:14.000,Variant 83,83,Accepted,High,In Progress,Org line A2,D_1,in,L50 3rd,PROD611,INDIA
Case 17,Completed-Closed,Value 19,2012/04/19 17:01:38.000,Variant 83,83,Completed,High,Closed,Org line A2,D_1,in,L50 3rd,PROD611,INDIA
Case 18,Accepted-In Progress,Value 3,2009/10/15 01:12:54.000,Variant 23,23,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
Case 18,Accepted-Wait,Value 3,2009/12/02 22:24:37.000,Variant 23,23,Accepted,Medium,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,China
Case 18,Accepted-In Progress,Value 3,2011/09/02 07:22:08.000,Variant 23,23,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
Case 18,Accepted-In Progress,Value 3,2012/02/01 17:46:54.000,Variant 23,23,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
Case 18,Completed-Closed,Value 3,2012/02/01 17:46:57.000,Variant 23,23,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
Case 19,Accepted-Wait,Value 20,2009/10/26 22:47:10.000,Variant 84,84,Accepted,Low,Wait,Org line A2,A2_2,se,G357 2nd,PROD46,Sweden
Case 19,Unmatched-Unmatched,Value 20,2009/10/27 17:57:26.000,Variant 84,84,Unmatched,Low,Unmatched,Org line A2,A2_2,se,G357 2nd,PROD46,Sweden
Case 19,Queued-Awaiting Assignment,Value 20,2010/03/02 21:44:22.000,Variant 84,84,Queued,Low,Awaiting Assignment,Org line A2,A2_2,se,G357 2nd,PROD46,Sweden
Case 19,Accepted-In Progress,Value 21,2010/03/02 21:46:10.000,Variant 84,84,Accepted,Low,In Progress,Org line A2,A2_2,se,G357 2nd,PROD46,POLAND
Case 19,Accepted-Wait,Value 21,2010/03/02 21:46:18.000,Variant 84,84,Accepted,Low,Wait,Org line A2,A2_2,se,G357 2nd,PROD46,POLAND
Case 19,Accepted-Assigned,Value 22,2011/04/11 16:10:20.000,Variant 84,84,Accepted,Low,Assigned,Org line A2,A2_2,se,G357 2nd,PROD46,POLAND
Case 19,Accepted-Assigned,Value 21,2011/04/11 16:11:48.000,Variant 84,84,Accepted,Low,Assigned,Org line A2,A2_2,se,G357 2nd,PROD46,POLAND
Case 19,Accepted-Wait,Value 21,2011/11/28 16:21:27.000,Variant 84,84,Accepted,Low,Wait,Org line A2,A2_2,se,G357 2nd,PROD46,POLAND
Case 19,Accepted-In Progress,Value 21,2012/03/30 17:53:50.000,Variant 84,84,Accepted,Low,In Progress,Org line A2,A2_2,se,G357 2nd,PROD46,POLAND
Case 19,Completed-Closed,Value 21,2012/03/30 17:53:53.000,Variant 84,84,Completed,Low,Closed,Org line A2,A2_2,se,G357 2nd,PROD46,POLAND
Case 20,Accepted-In Progress,Value 20,2009/10/27 17:42:40.000,Variant 85,85,Accepted,Medium,In Progress,Org line A2,A2_2,se,G357 2nd,PROD48,Sweden
Case 20,Accepted-Wait,Value 20,2009/10/27 17:42:49.000,Variant 85,85,Accepted,Medium,Wait,Org line A2,A2_2,se,G357 2nd,PROD48,Sweden
Case 20,Queued-Awaiting Assignment,Value 20,2010/03/02 21:43:43.000,Variant 85,85,Queued,Medium,Awaiting Assignment,Org line A2,A2_2,se,G357 2nd,PROD48,Sweden
Case 20,Accepted-In Progress,Value 23,2010/03/02 21:44:26.000,Variant 85,85,Accepted,Medium,In Progress,Org line A1,,se,N5 2nd,PROD48,Brazil
Case 20,Accepted-In Progress,Value 21,2010/03/03 16:04:11.000,Variant 85,85,Accepted,Medium,In Progress,Org line A2,A2_2,se,G357 2nd,PROD48,POLAND
Case 20,Accepted-Wait,Value 21,2010/06/14 05:32:03.000,Variant 85,85,Accepted,Medium,Wait,Org line A2,A2_2,se,G357 2nd,PROD48,POLAND
Case 20,Accepted-Assigned,Value 22,2011/04/11 16:12:04.000,Variant 85,85,Accepted,Medium,Assigned,Org line A2,A2_2,se,G357 2nd,PROD48,POLAND
Case 20,Accepted-Wait,Value 22,2011/11/23 19:55:39.000,Variant 85,85,Accepted,Medium,Wait,Org line A2,A2_2,se,G357 2nd,PROD48,POLAND
Case 20,Completed-Closed,Value 22,2012/01/19 16:55:41.000,Variant 85,85,Completed,Medium,Closed,Org line A2,A2_2,se,G357 2nd,PROD48,POLAND
Case 21,Accepted-In Progress,Value 20,2009/10/30 21:49:04.000,Variant 86,86,Accepted,Medium,In Progress,Org line A2,A2_2,se,G357 2nd,PROD44,Sweden
Case 21,Accepted-Assigned,Value 20,2009/10/30 21:57:13.000,Variant 86,86,Accepted,Medium,Assigned,Org line A2,A2_2,se,G357 2nd,PROD44,Sweden
Case 21,Queued-Awaiting Assignment,Value 20,2010/03/02 21:43:50.000,Variant 86,86,Queued,Medium,Awaiting Assignment,Org line A2,A2_2,se,G357 2nd,PROD44,Sweden
Case 21,Accepted-In Progress,Value 21,2010/03/02 21:45:25.000,Variant 86,86,Accepted,Medium,In Progress,Org line A2,A2_2,se,G357 2nd,PROD44,POLAND
Case 21,Accepted-Wait,Value 21,2010/03/02 21:45:37.000,Variant 86,86,Accepted,Medium,Wait,Org line A2,A2_2,se,G357 2nd,PROD44,POLAND
Case 21,Completed-Closed,Value 21,2012/03/30 17:54:30.000,Variant 86,86,Completed,Medium,Closed,Org line A2,A2_2,se,G357 2nd,PROD44,POLAND
Case 22,Accepted-In Progress,Value 24,2009/11/04 16:07:28.000,Variant 87,87,Accepted,Medium,In Progress,Org line A2,A2_2,se,G357 2nd,PROD46,Sweden
Case 22,Accepted-In Progress,Value 24,2010/03/03 23:51:55.000,Variant 87,87,Accepted,Medium,In Progress,Org line A2,A2_2,se,G357 2nd,PROD46,Sweden
Case 22,Accepted-Assigned,Value 25,2010/03/03 23:52:18.000,Variant 87,87,Accepted,Medium,Assigned,Org line A2,A2_2,se,G357 2nd,PROD46,POLAND
Case 22,Accepted-Assigned,Value 25,2010/05/25 00:04:58.000,Variant 87,87,Accepted,Medium,Assigned,Org line A2,A2_2,se,G357 2nd,PROD46,POLAND
Case 22,Accepted-Assigned,Value 20,2010/08/09 19:39:59.000,Variant 87,87,Accepted,Medium,Assigned,Org line A2,A2_2,se,G357 2nd,PROD46,Sweden
Case 22,Accepted-In Progress,Value 21,2012/04/02 17:18:59.000,Variant 87,87,Accepted,Medium,In Progress,Org line A2,A2_2,se,G357 2nd,PROD46,POLAND
Case 22,Completed-Closed,Value 21,2012/04/02 17:19:30.000,Variant 87,87,Completed,Medium,Closed,Org line A2,A2_2,se,G357 2nd,PROD46,POLAND
Case 23,Queued-Awaiting Assignment,Value 26,2009/11/10 00:38:14.000,Variant 88,88,Queued,Medium,Awaiting Assignment,Org line V2,,se,T12,PROD42,Sweden
Case 23,Accepted-In Progress,Value 26,2009/11/24 17:41:50.000,Variant 88,88,Accepted,Medium,In Progress,Org line V2,,se,T12,PROD42,Sweden
Case 23,Accepted-Wait,Value 26,2010/09/10 17:45:16.000,Variant 88,88,Accepted,Medium,Wait,Org line V2,,se,T12,PROD42,Sweden
Case 23,Accepted-In Progress,Value 26,2011/03/28 18:52:46.000,Variant 88,88,Accepted,Medium,In Progress,Org line V2,,se,T12,PROD42,Sweden
Case 23,Accepted-Wait,Value 26,2012/01/04 23:53:26.000,Variant 88,88,Accepted,Medium,Wait,Org line V2,,se,T12,PROD42,Sweden
Case 23,Completed-Closed,Value 26,2012/04/13 20:41:36.000,Variant 88,88,Completed,Medium,Closed,Org line V2,,se,T12,PROD42,Sweden
Case 24,Accepted-In Progress,Value 27,2009/11/12 21:41:27.000,Variant 89,89,Accepted,Medium,In Progress,Org line A2,A2_1,be,G42 3rd,PROD787,Belgium
Case 24,Accepted-In Progress,Value 27,2010/09/17 17:33:52.000,Variant 89,89,Accepted,Medium,In Progress,Org line A2,A2_1,be,G42 3rd,PROD787,Belgium
Case 24,Queued-Awaiting Assignment,Value 28,2010/11/13 03:22:19.000,Variant 89,89,Queued,Medium,Awaiting Assignment,Org line A2,A2_1,be,G42 3rd,PROD787,United Kingdom
Case 24,Accepted-Assigned,Value 29,2010/11/23 23:10:22.000,Variant 89,89,Accepted,Medium,Assigned,Org line A2,A2_1,be,G42 3rd,PROD787,United Kingdom
Case 24,Accepted-Assigned,Value 30,2011/01/07 22:55:04.000,Variant 89,89,Accepted,Medium,Assigned,Org line A2,A2_1,be,G42 3rd,PROD787,United Kingdom
Case 24,Accepted-Wait,Value 30,2011/01/12 01:13:42.000,Variant 89,89,Accepted,Medium,Wait,Org line A2,A2_1,be,G42 3rd,PROD787,United Kingdom
Case 24,Accepted-In Progress,Value 31,2011/05/19 22:45:16.000,Variant 89,89,Accepted,Medium,In Progress,Org line V11,,be,C8,PROD787,Denmark
Case 24,Queued-Awaiting Assignment,Value 32,2011/05/19 22:49:04.000,Variant 89,89,Queued,Medium,Awaiting Assignment,Org line A2,A2_2,be,G8 2nd,PROD787,Belgium
Case 24,Accepted-In Progress,Value 32,2011/08/25 22:24:01.000,Variant 89,89,Accepted,Medium,In Progress,Org line A2,A2_2,be,G8 2nd,PROD787,Belgium
Case 24,Queued-Awaiting Assignment,Value 33,2011/08/25 22:24:43.000,Variant 89,89,Queued,Medium,Awaiting Assignment,Org line A2,A2_4,be,G7 3rd,PROD787,Belgium
Case 24,Accepted-Assigned,Value 27,2011/08/25 22:25:33.000,Variant 89,89,Accepted,Medium,Assigned,Org line A2,A2_4,be,G7 3rd,PROD787,Belgium
Case 24,Accepted-In Progress,Value 27,2011/10/27 00:07:30.000,Variant 89,89,Accepted,Medium,In Progress,Org line A2,A2_4,be,G7 3rd,PROD787,Belgium
Case 24,Completed-Closed,Value 27,2012/03/30 18:45:20.000,Variant 89,89,Completed,Medium,Closed,Org line A2,A2_4,be,G7 3rd,PROD787,Belgium
Case 25,Accepted-In Progress,Value 34,2009/11/24 17:44:43.000,Variant 90,90,Accepted,Medium,In Progress,Org line A2,A2_1,se,N15 2nd,PROD180,Belgium
Case 25,Queued-Awaiting Assignment,Value 34,2009/11/30 18:45:01.000,Variant 90,90,Queued,Medium,Awaiting Assignment,Org line A2,A2_1,se,N15 2nd,PROD180,Belgium
Case 25,Accepted-In Progress,Value 34,2010/03/14 21:40:26.000,Variant 90,90,Accepted,Medium,In Progress,Org line A2,A2_1,se,N15 2nd,PROD180,Belgium
Case 25,Unmatched-Unmatched,Value 34,2010/03/14 21:40:36.000,Variant 90,90,Unmatched,Medium,Unmatched,Org line A2,A2_1,se,N15 2nd,PROD180,Belgium
Case 25,Completed-Closed,Value 34,2012/01/18 22:26:41.000,Variant 90,90,Completed,Medium,Closed,Org line A2,A2_1,se,N15 2nd,PROD180,Belgium
Case 26,Unmatched-Unmatched,Value 31,2009/12/04 20:10:14.000,Variant 91,91,Unmatched,Major,Unmatched,Org line A2,A2_3,se,G356 2nd,PROD147,Sweden
Case 26,Accepted-Assigned,Value 31,2010/11/29 19:52:49.000,Variant 91,91,Accepted,Major,Assigned,Org line A2,A2_3,se,G356 2nd,PROD147,Sweden
Case 26,Accepted-In Progress,Value 31,2012/04/15 00:22:00.000,Variant 91,91,Accepted,Major,In Progress,Org line A2,A2_3,se,G356 2nd,PROD147,Sweden
